id,search_term,title,price,currency,category,brand,condition,url
0,new adidas shoes mens,New Adidas Superstar KoRn Shoes - Core Black (IH1313),125.88,USD,,,New with tags,https://www.ebay.com/itm/376298330689?_skw=new+adidas+shoes+mens&hash=item579d20da41:g:7ZcAAOSwM3dn3Xfp&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYuVzAdOACmHnuh%2FkQKNK7%2FXFPmsr1hTAWTJjgVQi4MMdLAevyBPuw1yj7USUBvq427kGLbxnto%2BU6qlY5tdMXpexFrpQi5Hdd6QYLmRCPLsnu3JL6c45mkWppC6oEKgh%2B9ntvqyGJtiZdn0a4xdk7nhHSPgTgvanegQdXvY8mAX2IRAGoREOyK1v2Om9%2FIBoiyGRLlqbiCrGK3UtQB0cEvq1C5PJCAXw0Ul0q%2BFEqbcp%2Fgd343V1jQsd%2FtwKtXW8ns5FdhfVUjVDcoVrZGRY4EPWlCtWykbhC9oVwyRjBH8A%3D%3D
1,new adidas shoes mens,adidas men Adizero Boston 12 Running Shoes,96.00,USD,,,New with box,https://www.ebay.com/itm/157083845858?_skw=new+adidas+shoes+mens&hash=item2492ed44e2:g:U0EAAeSwKCpoSvzn&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbP6zR1B%2FOsnpoftiGQUb8%2FAXAJ5W4v8iV8Bnd%2F5hPduyZCMJ7z6JkDSW9ncwumusK9xs7g9X%2F7O0q2EgUqp2EZXf%2BVhFY5KZQIgB1I%2FE6IqL1Dj98txbiBLYfgtUnvx27ADUT9vS%2FqSBi%2BfJx7MdOrC6Oev6W6Miuvwygy8tTgD7fu8WP6JFlAuL2g43MI4MtcsuXzqU02sDU7YBkwzby931sMkgnJAxOD3%2Fu8OwBXlLEQLCI5FVSoZP%2FJVePF%2BVpnlBOPCrx2KNbob8frU9uvYi8JUJQdURLKcdxlM%2BvuZQ%3D%3D
2,new adidas shoes mens,adidas men Adistar 3 Shoes,78.00,USD,,,New with box,https://www.ebay.com/itm/157083832847?_skw=new+adidas+shoes+mens&hash=item2492ed120f:g:S8kAAeSwBbFoSavN&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ua%2BZE6FNg7%2F7QobQnz6eseOmqxWrl4%2BqMKzypSCJD12UIY4ka4vM%2Fy%2FEf1aWBJdi9zjHQ08Ka1rEfQU%2Bvkr0WwLruRr56P1L9w23QiUmKphTKZIrf8EdHl7Oz%2BryojLk3nMYVR9nyFGFWXEKWlyp7tJMSGF1H9YCjt%2Ft9viyMVWbR2rQZv453Deal57203tH69kgWEGjFTqOSzUJOmg%2FtmWXfRi2%2BTAAW1eWQaEl5LBzbf9PrpvB%2F1ayeq40Vzp5gem3QTvbyejDG6odDAtdDtgOhtMMZJkMD%2FajEK4%2Fg%2FKJA%3D%3D
3,new adidas shoes mens,Adidas NMD R1 White Grey Black US 9 - 10 Mens Sneakers Casual Shoes NEW RARE ☑️,97.34,USD,,,New with box,https://www.ebay.com/itm/316894506634?_skw=new+adidas+shoes+mens&hash=item49c8626e8a:g:Qj0AAOSwryRoPDTY&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbugnJyHMaowHXaXC4BWeCwjD%2BMUsqaOuI1X9ay9sA2Di8MrZufy%2B54sLPIU9w4v4KwhSKnT%2BPLmJH2vkTmTavc0bCMuSHXMw53Sezsy9kfjqmnLyevGJmyl92FvVxaxFC6o3LnV8TAhX4wdu%2BvR559ZXuYeGXLTKKM8vI4odtcIkGvn1OtRfeW22klT%2FHXcd1sytsKpwtMgliK9rEE8Rdtd7rLCLqjx9who2CXhd8hPFAf4%2FBP6dLNtfYD%2FnWw%2FZZP5QNvVcDX3LHGRE%2Bp7BbT4jaFWP8Y8j9FqEamEGeYlw%3D%3D
4,new adidas shoes mens,adidas men Duramo SL Running Shoes,35.00,USD,,,New with box,https://www.ebay.com/itm/156943566647?_skw=new+adidas+shoes+mens&hash=item248a90c737:g:DhYAAeSw4EBoSvtT
5,new adidas shoes mens,adidas men VL Court 3.0 Shoes,41.00,USD,,,New with box,https://www.ebay.com/itm/157083832778?_skw=new+adidas+shoes+mens&hash=item2492ed11ca:g:ai0AAeSwnaFoSwD~
6,new adidas shoes mens,adidas men Supernova Prima Running Shoes,112.00,USD,,,New with box,https://www.ebay.com/itm/157083832881?_skw=new+adidas+shoes+mens&hash=item2492ed1231:g:X94AAeSwd8VoSa-J
7,new adidas shoes mens,adidas men Adizero Aruku Shoes,90.00,USD,,,New with box,https://www.ebay.com/itm/156995370308?_skw=new+adidas+shoes+mens&hash=item248da73d44:g:HNoAAeSw4khoPHfG
8,new adidas shoes mens,Adidas Trainers Mens Casual Sport Lace Up Running Classic Shoes Uk Size 7-12,95.28,USD,,,New with box,https://www.ebay.com/itm/145125236580?_skw=new+adidas+shoes+mens&hash=item21ca235f64:g:hSUAAOSw5SJkgJx9&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ua2ZGVNdC5sW7acRNN9uAyJxU5KlgYLtqV7YMTPcRHgJj542geyCsu3p5fujYK88MlIMqx%2BAcc3FQceJ%2B%2FcCRY18eTTJA4hhBm2GDYxAznTNKVuqBwPi0I%2FHQKuWKnOMwDgPrOAHptGNtCmxhz9CJVaA21EBOuh%2BF94xLjEZqqlDlFZMXGYLiHx0sqvlbADHsQe7xvUIxdiTJOeIalKvxpxw%2FwsshlO0geJcux7YFo0O3XA720GavVGNSpEX0Sheg1hkWbSPP7i%2Fpr6F6MLQBPJx5IPkU64hEduYwhG%2FlHdqA%3D%3D
9,new adidas shoes mens,adidas Originals JAPAN Shoes Sneakers Lace up boots White Women From Japan New,157.21,USD,,,New with box,https://www.ebay.com/itm/157091811383?_skw=new+adidas+shoes+mens&hash=item249366d037:i:157091811383&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZbgvdO%2FPPEN0rQhlsKLJJRRAZGvrRcQBvFRVPNwDmeyu7j7rFjB2nNeX9UAVMvSqWPv9c2qEo00kgH0N%2BQpyNFa2%2FtcjbRmHNjSmwrA1t%2B%2BOqvc%2Fe1xN3TMq3VWRkYDkCbb%2FEuH2bdUNYxA2Z72KvFRyuaizFNiBGhoTsvnKvse3%2BdMNXI9rRr4EIynMBAYoo4%2B2Xut38xklCkUcGyT4m%2FDirzfmPGbIhUhVHf1DUhlcozAFf63sStfvdqg1maa%2BOuCOJqW4SrPkbZLyHgsV6DfWvgKA%2FHnfseMQ1yJEyT8w%3D%3D
