id,search_term,title,price,currency,category,brand,condition,gender,url,transformation_timestamp
0,new adidas shoes mens,adidas men adizero boston 12 running shoes,96.0,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/157083845858?_skw=new+adidas+shoes+mens&hash=item2492ed44e2:g:SMQAAeSwddZoSanC&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbP6zR1B%2FOsnpoftiGQUb8%2FAXAJ5W4v8iV8Bnd%2F5hPduyZCMJ7z6JkDSW9ncwumusK9xs7g9X%2F7O0q2EgUqp2EZXf%2BVhFY5KZQIgB1I%2FE6IqL1Dj98txbiBLYfgtUnvx25I9%2FiSn1lV0UegeC3EiEvZM%2BPfKJLOAinb3XVU1KU8mjhTvS6JF8PdGLyNelBjbm0rwWQlu6wn1vUIhziaGD1q1vkoENVDka04Bm2g6i%2BRu7usxHcM1r4vrUNiP6af060d9T1WpvYQZqvwgq7tnHx%2FuJNpg30jZOVMp3fxD8sXQg%3D%3D,2025-06-11 18:51:37
1,new adidas shoes mens,new adidas superstar korn shoes - core black (ih1313),125.88,USD,shoes,adidas,New with tags,,https://www.ebay.com/itm/376298330689?_skw=new+adidas+shoes+mens&hash=item579d20da41:g:7ZcAAOSwM3dn3Xfp&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYuVzAdOACmHnuh%2FkQKNK7%2FXFPmsr1hTAWTJjgVQi4MMdLAevyBPuw1yj7USUBvq427kGLbxnto%2BU6qlY5tdMXpexFrpQi5Hdd6QYLmRCPLsnu3JL6c45mkWppC6oEKgh%2FWam3V2nCTQ9x9pPFUxbfvzDo4HJ3vHBzfIZKSfunhQGqs94de5yN3r%2FB42x5H2%2F9I00AVVS8MPs5DONOq4OYmVwZkawg86gu9ecg0AbCqbNn%2Fcf4o4Hak6KdcJErwVky5vK0wOwduLcc6JEBmmea3FkRDMyYxPmkdZ5ClJ6FuuA%3D%3D,2025-06-11 18:51:37
2,new adidas shoes mens,adidas nmd r1 white grey black us 9 - 10 mens sneakers casual shoes new rare ☑️,97.18,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/316894506634?_skw=new+adidas+shoes+mens&hash=item49c8626e8a:g:Qj0AAOSwryRoPDTY&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbugnJyHMaowHXaXC4BWeCwjD%2BMUsqaOuI1X9ay9sA2Di8MrZufy%2B54sLPIU9w4v4KwhSKnT%2BPLmJH2vkTmTavc0bCMuSHXMw53Sezsy9kfjqmnLyevGJmyl92FvVxaxFDf38tKa7xkFzK9OySuJKKxgS1x%2FKx4EtGE8%2FMQE5kntGKPkPKy8lpykt7PyV9Y%2B9%2F8TRQleu7FtpmIPoCDLZr45K5wBEGg1C0i9I4pErtOYG%2BqENoc%2BS52BRxSzqOjXA4u1Q0BrKMJGJV0CM4Qe8eO8Un5ho0OuAMCe2OrdoA7wA%3D%3D,2025-06-11 18:51:37
3,new adidas shoes mens,adidas men pureboost 23 running shoes,85.0,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/157083845728?_skw=new+adidas+shoes+mens&hash=item2492ed4460:g:nV4AAeSwM71oSOIN&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ub3T%2BGeUywnWWKyyy6deA6cp5j28OLR2FBfHU0qu%2FSFSvNhrNWIffc9oz8xEVExvCxYAG3Pb1mPzJbVVsgtwcXRqFoLeMafbGl6HERjysAKafJq1aRqcavbnyfU6P8IhYdga0zZnty%2FUc6Kodm95h0Q3l2GtdqOU68fhSh8JnF6hS8ltqXA6fBTq67QILPfL4%2FtKbVN6ozGIwsZGLx%2BUSUiaiJgUpOz9FasVR0R6B1yxhrFgOCA5jccgc7u7N%2F9O1xX6A4JGrJK6eH8hq%2FJrGQw6ijkCbwQM3c5XWzj3QEFsQ%3D%3D,2025-06-11 18:51:37
4,new adidas shoes mens,adidas men duramo sl running shoes,35.0,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/156943566647?_skw=new+adidas+shoes+mens&hash=item248a90c737:g:nqkAAeSwOepoEp9L,2025-06-11 18:51:37
5,new adidas shoes mens,adidas men vl court 3.0 shoes,41.0,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/157083832778?_skw=new+adidas+shoes+mens&hash=item2492ed11ca:g:GwgAAeSwObpoSamA,2025-06-11 18:51:37
6,new adidas shoes mens,adidas men break start premium low shoes,36.0,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/156936297094?_skw=new+adidas+shoes+mens&hash=item248a21da86:g:ct4AAeSwiRRoD4z6,2025-06-11 18:51:37
7,new adidas shoes mens,adidas men adistar 3 shoes,78.0,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/157083832847?_skw=new+adidas+shoes+mens&hash=item2492ed120f:g:S8kAAeSwBbFoSavN,2025-06-11 18:51:37
8,new adidas shoes mens,adidas trainers mens casual sport lace up running classic shoes uk size 7-12,87.74,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/145125236580?_skw=new+adidas+shoes+mens&hash=item21ca235f64:g:hSUAAOSw5SJkgJx9&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ua2ZGVNdC5sW7acRNN9uAyJxU5KlgYLtqV7YMTPcRHgJj542geyCsu3p5fujYK88MlIMqx%2BAcc3FQceJ%2B%2FcCRY18eTTJA4hhBm2GDYxAznTNKVuqBwPi0I%2FHQKuWKnOMwDhbNZB2CaIsbPhSIqpEzL%2BV2D5Sm4yUcg4q%2FJUlGbLrQlxRA82O55jgDZXpobWQan63qsoBO2mHwMlOUEKjyQAPlMsuMRvm7en1JaecbFnXyCFlNMhe%2BDtsegBzSysAHL%2B%2BKqU3QueI2MGBbnc8yz9t%2BA2b%2FMQkm1Np4%2FjIVU%2FDQ%3D%3D,2025-06-11 18:51:37
9,new adidas shoes mens,adidas mens trainers original samba walking shoes uk sizes,94.49,USD,shoes,adidas,New with box,men,https://www.ebay.com/itm/266296571862?_skw=new+adidas+shoes+mens&hash=item3e008337d6:g:hrwAAOSwwLVlBDus&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ua532U791AUSYz110l5EHud6ktwOA7hVxinMLZxllVbs6X%2Fuz%2BiPF8V8R72kxSbcjPTSpx%2FEDYlRaRvwMlw3EE4U6c%2BAmUmWfi%2FXzdWGImA1A8rMAwulxVQpk0fPAsxZMhmtw%2BTa3ugi9jSN%2Fz6IC6faHXtKD5vpeVz04Qa8e3oLEf0qWaaIwE1Z43%2Bg4WqDYsvfque6wtRpIqvWEMBsoez8qRbYKMXsG%2FE9JTiJ53DAIWhrp%2BwUvUleezsPVaFPhWNasTOxfS6f0cBZdsnY62EP7Z2CRRYZSdQOjUFgRCUMw%3D%3D,2025-06-11 18:51:37
10,new adidas shoes womens,new adidas superstar korn shoes - core black (ih1313),125.88,USD,shoes,adidas,New with tags,,https://www.ebay.com/itm/376298330689?_skw=new+adidas+shoes+womens&hash=item579d20da41:g:7ZcAAOSwM3dn3Xfp&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYuVzAdOACmHnuh%2FkQKNK7%2FXFPmsr1hTAWTJjgVQi4MMdLAevyBPuw1yj7USUBvq427kGLbxnto%2BU6qlY5tdMXpexFrpQi5Hdd6QYLmRCPLsnu3JL6c45mkWppC6oEKgh%2BCo3f4a3DJ8he2L6FZmrmbrBcYiJe0NOHrb%2BA8w%2BRGvPEopy4RzmCz1REPQjogNZg5qrwfFTxQjW53%2B9LdLBbYMav7wtuAfO8UuwHxG%2BW8StSdUL%2BJDnzuT4BK9NBgfqcv%2BiyMtU39Ka3qjD3ANZTGnvzOuobax8FRagISsAldLQ%3D%3D,2025-06-11 18:51:37
