id,search_term,title,price,currency,category,brand,condition,gender,url,transformation_timestamp
0,new reebok shoes mens,REEBOK MENS CLUB C 85 TRAINERS SHOES SNEAKERS CHALK WHITE GREEN RETRO 80S NEW OG,55.99,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/226183815410?_skw=new+reebok+shoes+mens&hash=item34a99b20f2:g:lMoAAOSwelRmZHN6&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZ1O%2BM%2FTjukUHekNwRu3XknacEZzeb3x4cPSaokJUnUTTbn6rZLW5oOYDEAqNaSp%2F7N7ZDrMO5XSkQ9zc2II0wL7PL%2FBiu%2BM3R8UKkRGFGhwzCl%2FVJF9RHiBIz3GvV%2BM9qCyFpMuzEaiL2%2FWVOYqP3c8GNlBY469nlIXSKh22qsG7CNcxq%2FgWGy9GejedWous5uo%2BSVmY7Ck7qJVU%2Furw9D0LKSIUFmkqHJh3QqhAWOlEKS3KGdl%2FIXXA76JOsHj8aFtt%2FVcblaL6%2F1IOFLdyw5%2BBq4OjQGaTKmz%2FYRe8T9Cg%3D%3D,2025-06-20
1,new reebok shoes mens,REEBOK  Ex O Fit Hi Men's Hi-Shoes (UK_7-13) WHITE BRAND NEW,59.99,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/176503914034?_skw=new+reebok+shoes+mens&hash=item291873fe32:g:R2oAAOSweehmrQYi&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UY2ODNDajQqaiUEzjEuIopY7%2B6VYrrfRFxcxPLow1mj2chQrshkvhJTy8UfIxx19ykJM2l%2BgjSZWM0qnApkg3qkP1tsj0L32cbKW3gJVL01vOnFhOajvRc1nSKsVRzhib9oFgDOXN8gB21Is1WK1Dx%2Fcl1ZHiucbvxM7L0o6pqFTYuerk8O4WBT8NN07n5TDyAuppKVUBoPncPNcsGoz%2Bd6INZtfF1fJ5zYnexg3oscj2eZ1I52aAUG23cGW9hFxKLH3c9ST0MUbuDjQc58rJIatZQgXnX7ONsQuduBN5qHGg%3D%3D,2025-06-20
2,new reebok shoes mens,Reebok Mens Skate Shoes Royal Complete Leather Lace Up white UK Size,34.0,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/355761826082?_skw=new+reebok+shoes+mens&hash=item52d50ea922:g:qv8AAOSwRLxmXQH0&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UY09WUkIWZ1aufkdrieNwx9B2zT5yw7hogeFReSjV7p7TLRB4YEGd7QQ8doDaqM7bInZhO9XZiR7Ea6%2Fr%2B%2Bp4CVvc2gueF0IxU4aFg647nwlMaSceibrtaT%2FhokG8baA%2FjrJu4%2BaHB0PfAuB5UPtyzpbAbNvSxu8Y4%2F6rfaeUGq2KCm2r2K0V4cu6%2B%2FwdJSr3rX7KbgtDiFX8Tkcn7w1uaFwa6MR%2FlnXBJC6QjiDXHCWTNrogocb9HR5f1xqygUY2YfcplEZBIowI2srwuulbierD%2BXWgVHFOIxcRa%2B%2F9KiNQ%3D%3D,2025-06-20
3,new reebok shoes mens,Reebok Mens Royal Glide Ripple Suede Trainers Sneakers Shoes Green UK size 8.5,49.99,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/187336134474?_skw=new+reebok+shoes+mens&hash=item2b9e1a8f4a:g:278AAeSwDDBoT0U-&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYvKy0iYTJ1G7gudRoSKnHf5yESPTD3jCCBeY5v6M9FvfttsZ3Amq5ueMNhTrLuauFS2WyDQKZRDnedFP9kO8ziBr%2FwJHVLB64Z01ui47pCqwa6tnP5t23KDx6R71hIpXb5V7tpnA6eTBZHISKoBshTIySeA4XCQZUvCMC10GoLeU--RwOJVF0MPLuzy0mvb5hmRlFYj9yYMBkeJowzvQG3zzoYv9uLLaubuLLLtM2PEKbD0BwpEFvqfDfXxO7B9D36XMkbJli%2B8o0a%2BBi%2BLC7nLisCxuGGj5GORGoqpj4Smw%3D%3D,2025-06-20
4,new reebok shoes mens,REEBOK Mens BNIB Running Shoes CLASSIC LEATHER Navy / White Various Sizes,59.95,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/316619318238?_skw=new+reebok+shoes+mens&hash=item49b7fb63de:g:FbQAAOSwhGpn9MtG,2025-06-20
5,new reebok shoes mens,Reebok Workout Plus Black Gum Mens Shoes UK11 Size 11,49.0,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/136026180746?_skw=new+reebok+shoes+mens&hash=item1fabcacc8a:g:PNYAAeSwVzhoU-r6,2025-06-20
6,new reebok shoes mens,Men's Reebok Lite 4 Running Shoes in Grey,26.99,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/316874660025?_skw=new+reebok+shoes+mens&hash=item49c73398b9:g:3mgAAeSwbYRoNxau,2025-06-20
7,new reebok shoes mens,Reebok Energen FuelFoam Run 3.0 Mens Running Shoes Jogging Gym Workout Trainers,39.99,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/286441775511?_skw=new+reebok+shoes+mens&hash=item42b142a197:g:CCIAAOSwBGFoSdBc,2025-06-20
8,new reebok shoes mens,Reebok Mens New White Leather Trainers Shoes Mid Classic RRP £85 UK Size 7.5,29.98,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/297416117268?_skw=new+reebok+shoes+mens&hash=item453f61cc14:g:ucoAAOSwk1ZnLJ0~&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UY3uGGa9rvyG%2FhYcesVaVkn%2BESBZJNMr2W7KRZBrjyAWZUkR5cJDvYNUwKofx08DeYnCxT2gScIGEvRakmLiiXnEJshL8zVkC%2FO%2FaoD7DEVYhWknLJzEKITzPFQJPIGYWxhZlRaOH3msO085hQ0WrBLzuKVZLFmgBSFqH1Io2A%2F3BIjxIG%2B6g8qXqZpwkXCwChHQjIbtUyf55LmSYPIsPu5gM1Mz3vZvjdQwQaKnr8Z4sTakJOGPss900X4XccoAD54IBF6c%2BKQSU8pxCFdZSnFz47i%2BLLKCnMuYNOwv6jppg%3D%3D,2025-06-20
9,new reebok shoes mens,Mens Reebok Classic Ripple Royal Glide Trainers Shoes Vintage Classics Sneakers,35.98,GBP,Shoes,Reebok,New with box,mens,https://www.ebay.co.uk/itm/296707961174?_skw=new+reebok+shoes+mens&hash=item45152c3156:g:15YAAOSwqqVm8EQU&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbdIigEEzLd4XXvA3kLFYrxkPWBaTO%2F96vxlOZeO%2BeASN%2FOw%2FlQ3jIVxFjgb84vzKCZPGN%2BY4mg5Q2r6e0PR5joZkp%2F10G7mHHRqT72eXBBgmbSzBFEzdiQEXu4db15%2FfczOS895IzEbRVJ9U%2FJNSf%2FtGMu6zvZ9KLBVKWs7O2C7aQEXP6HJwhzJa5XCjITUdu1XNA3C5W6JVVKI%2F%2BinPe30pF55MRVtzHe0NEywEc1VDE9ylK3TysMS5KhgQ%2B%2BU%2FGcta6GckSeZ3xkZMdkLCKpcXWpc8UQrWU%2BnbDOEAp4mA%3D%3D,2025-06-20
