table_name,column_name,data_type,test_result
adplatform_data,date,DATE,column_missing
adplatform_data,criteo_cost,FLOAT,column_missing
adplatform_data,criteo_clicks,INTEGER,column_missing
adplatform_data,criteo_impressions,INTEGER,column_missing
adplatform_data,google_cost,FLOAT,column_missing
adplatform_data,google_clicks,INTEGER,column_missing
adplatform_data,google_impressions,INTEGER,column_missing
adplatform_data,meta_cost,FLOAT,column_missing
adplatform_data,meta_clicks,INTEGER,column_missing
adplatform_data,meta_impressions,INTEGER,column_missing
adplatform_data,rtbhouse_cost,FLOAT,column_missing
adplatform_data,rtbhouse_clicks,INTEGER,column_missing
adplatform_data,rtbhouse_impressions,INTEGER,column_missing
adplatform_data,tiktok_cost,FLOAT,column_missing
adplatform_data,tiktok_clicks,INTEGER,column_missing
adplatform_data,tiktok_impressions,INTEGER,column_missing
funnelevents,date,DATE,column_missing
funnelevents,event_time,DATETIME,column_missing
funnelevents,user_cookie_id,STRING,column_missing
funnelevents,user_crm_id,STRING,column_missing
funnelevents,session_id,STRING,column_missing
funnelevents,device_category,STRING,column_missing
funnelevents,event_name,STRING,column_missing
funnelevents,item_id,STRING,column_missing
funnelevents,transaction_id,STRING,column_missing
product_costs,item_id,STRING,column_missing
product_costs,cost_of_item,FLOAT,column_missing
product_listprices,item_id,STRING,column_missing
product_listprices,item_list_price,FLOAT,column_missing
product_returns,return_date,DATE,column_missing
product_returns,transaction_id,STRING,column_missing
product_returns,item_id,STRING,column_missing
product_returns,item_quantity,INTEGER,column_missing
product_returns,return_quantity,FLOAT,column_missing
product_returns,return_status,STRING,column_missing
productattributes,item_id,STRING,column_missing
productattributes,item_brand,STRING,column_missing
productattributes,item_name,STRING,column_missing
productattributes,item_main_category,STRING,column_missing
productattributes,item_sub_category,STRING,column_missing
productattributes,item_gender,STRING,column_missing
sessions,date,DATE,column_missing
sessions,user_cookie_id,STRING,column_missing
sessions,user_crm_id,STRING,column_missing
sessions,session_id,STRING,column_missing
sessions,traffic_source,STRING,column_missing
sessions,traffic_medium,STRING,column_missing
sessions,device_category,STRING,column_missing
sessions,city,STRING,column_missing
transactions,date,DATE,column_missing
transactions,user_cookie_id,STRING,column_missing
transactions,user_crm_id,STRING,column_missing
transactions,session_id,STRING,column_missing
transactions,transaction_id,STRING,column_missing
transactions,transaction_coupon,STRING,column_missing
transactions,transaction_revenue,FLOAT,column_missing
transactions,transaction_shipping,FLOAT,column_missing
transactions,transaction_total,FLOAT,column_missing
transactionsanditems,date,DATE,column_missing
transactionsanditems,transaction_id,STRING,column_missing
transactionsanditems,item_id,STRING,column_missing
transactionsanditems,item_price,FLOAT,column_missing
transactionsanditems,item_quantity,INTEGER,column_missing
users,user_crm_id,STRING,column_missing
users,city,STRING,column_missing
users,user_gender,STRING,column_missing
users,registration_date,DATE,column_missing
users,latest_login_date,DATE,column_missing
users,first_purchase_date,DATE,column_missing
users,latest_purchase_date,DATE,column_missing
users,opt_in_status,BOOLEAN,column_missing
users,loom_plus_status,BOOLEAN,column_missing
users,loom_plus_tier,STRING,column_missing
